実績明細オブジェクト一覧へ戻る,,,,,,,,,,
オブジェクト一覧へ戻る,,,,,,,,,,
,,,,,,,,,,
,プロジェクト名,,次期基幹システム構築プロジェクト,作成,2023/04/26,AB桑原,,,,
,文書名,,オブジェクト・項目定義書,最終更新,2025/01/14,SFJ上西,,,,
,,,,,,,,,,
,オブジェクト情報,,,,,,,,,
,＃,表示ラベル,API参照名,レポートで使用する,活動の追跡,項目履歴管理,,,,
,18,受注伝票就業条件,SalesOrderEmploymentConditions__c,〇,-,〇,,,,
,,,,,,,,,,
,,,,,,,,,,
,項目一覧,,,,,,,,,
,NO,表示ラベル,API参照名,データ型,選択リスト値,デフォルト値,確認／コメント,,"CSVからの
取込み対象",コメント
,152,休憩終了時間10,BreakEndTime10__c,テキスト,,,,,〇,
,153,休憩終了時間6,BreakEndTime6__c,テキスト,,,,,〇,
,154,休憩終了時間7,BreakEndTime7__c,テキスト,,,,,〇,
,155,休憩終了時間8,BreakEndTime8__c,テキスト,,,,,〇,
,156,休憩終了時間9,BreakEndTime9__c,テキスト,,,,,〇,
,157,休憩開始時間10,BreakStartTime10__c,テキスト,,,,,〇,
,158,休憩開始時間6,BreakStartTime6__c,テキスト,,,,,〇,
,159,休憩開始時間7,BreakStartTime7__c,テキスト,,,,,〇,
,160,休憩開始時間8,BreakStartTime8__c,テキスト,,,,,〇,
,161,休憩開始時間9,BreakStartTime9__c,テキスト,,,,,〇,
,162,午後半日休-所定休憩10終了時刻,PMOffBreakEndTime10__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,163,午後半日休-所定休憩6終了時刻,PMOffBreakEndTime6__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,164,午後半日休-所定休憩7終了時刻,PMOffBreakEndTime7__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,165,午後半日休-所定休憩8終了時刻,PMOffBreakEndTime8__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
,166,午後半日休-所定休憩9終了時刻,PMOffBreakEndTime9__c,テキスト,,,,,〇,半日休の設定の持ち方は太田さん確認中。基本は変わらない方針である。
